date,Open,High,Low,close,Volume,Prev. Day Open Interest
2013-05-28,1649.15,1671.55,1643.15,1653.4,3344332.6,2575870.6
2013-05-24,1651.25,1655.25,1634.5,1650.5,1948019,3188469
2013-05-23,1657.5,1659,1632.75,1650,2671915,3155043
2013-05-22,1665.75,1685.75,1646.5,1655.5,2970065,3157769
2013-05-21,1663.5,1673.25,1660,1665.5,1693935,3146083
2013-05-20,1662.5,1670.75,1659.75,1664.5,1748809,3105671
2013-05-17,1649.5,1665.75,1648.25,1663,1921247,3169768
2013-05-16,1655.25,1658.75,1646,1648,1919609,3176247
2013-05-15,1647.5,1659.75,1642.75,1654.25,2122285,3154692
2013-05-14,1630.75,1648.75,1626.5,1648,2016880,3105550
2013-05-13,1625.5,1633.25,1621.5,1630.75,1328925,3120921
2013-05-10,1626,1631,1620.25,1629.5,1640219,3148180
2013-05-09,1628.25,1632.25,1620,1624.5,1823710,3136578
2013-05-08,1620.75,1629.5,1617,1628.75,1587375,3111748
2013-05-07,1612.5,1621.75,1609.25,1620.5,1504953,3065189
2013-05-06,1608.25,1615.25,1607.25,1613.5,963963,3059565
2013-05-03,1592.25,1614.25,1589.5,1608.5,1935194,3061901
2013-05-02,1579.25,1594.25,1578.75,1592.25,1651280,3039955
2013-05-01,1593.75,1595.5,1576,1577.25,1467736,3027398
2013-04-30,1588.5,1593.75,1581.25,1592.25,1549097,3027047
2013-04-29,1576.25,1592.25,1573.75,1588.25,1234673,3010615
2013-04-26,1581.5,1582.5,1572.5,1576.5,1335009,3025650
2013-04-25,1573,1588.25,1570.75,1581.75,1594338,2996797
2013-04-24,1573.5,1579,1570.75,1574,1420026,2984052
2013-04-23,1557.25,1577,1548.75,1573.5,2107980,2986321
2013-04-22,1548.5,1561,1542.75,1556,1593692,2980861
2013-04-19,1537,1550.75,1535.25,1547.5,1862742,2979370
2013-04-18,1544.5,1553.5,1530.75,1534,2314982,2974851
2013-04-17,1569.25,1569.5,1538,1546,2968605,2999059
2013-04-16,1542.5,1570.75,1542.25,1568.75,2249005,3004260
2013-04-15,1582.25,1583,1538.75,1543.5,2854356,3017262
2013-04-12,1588.25,1589.75,1575,1582,1808001,3044403
2013-04-11,1583.5,1593,1580.75,1587.75,1721257,3045241
2013-04-10,1563.75,1584.5,1561,1582.75,2031363,3023014
2013-04-09,1560.75,1569,1555.5,1563.25,1632361,3012787
2013-04-08,1545.5,1562.75,1543,1559.25,1438013,3008538
2013-04-05,1554.75,1555.25,1533.25,1546,2268208,3010436
2013-04-04,1548.5,1557.5,1546,1554.5,1991850,3000088
2013-04-03,1566,1567.75,1544,1548.5,2262940,2994068
2013-04-02,1556.25,1568,1554.25,1564.5,1609532,2983372
2013-04-01,1563,1565,1552.5,1556,1135732,2954514
2013-03-28,1556.75,1564.5,1549.75,1562.75,1627305,2933541
2013-03-27,1558.25,1560.5,1545.75,1556.75,1568970,2915951
2013-03-26,1548.25,1558.75,1546.75,1557.25,1587656,2888010
2013-03-25,1550,1560.5,1539,1547,2254235,2885612
2013-03-22,1538.5,1554,1535,1552,1579587,2873746
2013-03-21,1549.5,1550.75,1536.5,1539,1904151,2876641
2013-03-20,1539.25,1555.75,1536.5,1549,1797647,2832895
2013-03-19,1547.25,1551.25,1531.75,1542.25,2545239,2838894
2013-03-18,1544,1552.5,1529.5,1546.75,2188168,2827037
2013-03-15,1554.5,1558.75,1549,1553.5,1699828,2799851
2013-03-14,1550.75,1557.25,1549,1556,1528045,2758336
2013-03-13,1547.75,1551.25,1542.25,1550,1651884,2533033
2013-03-12,1551.5,1551.5,1541.75,1546.75,2084563,2129885
2013-03-11,1543,1551.75,1540.5,1550.5,1602017,1707474
2013-03-08,1538,1547.75,1535.25,1544.5,1914859,1291987
2013-03-07,1535,1540.5,1532.5,1537.75,871884,825377
2013-03-06,1533.5,1540,1532,1534.25,559353,451765
2013-03-05,1520.75,1537.25,1519.25,1532,308916,253301
2013-03-04,1509.25,1521.75,1501.5,1521.75,106370,167870
2013-03-01,1506.25,1513,1494,1510.25,62468,167870
2013-02-28,1511.25,1519.7,1504.15,1507.65,450486,706274.6
2013-02-27,1489.8,1515.5,1486.55,1512.9,996842.8,1309656.4
2013-02-26,1483.5,1495.25,1480.45,1491,1769728.4,1918563
2013-02-25,1514.15,1523.3,1480.65,1483.6,2480760,2516170
2013-02-22,1502.25,1515,1502,1514,1761451,3098934
2013-02-21,1507.75,1509.75,1495,1502,2503581,3092934
2013-02-20,1528.75,1530,1506.5,1507,2017382,3098220
2013-02-19,1518,1529,1515.25,1529,1498174,3091729
2013-02-18,1516,1519,1515.5,1518.25,115805,3141873
2013-02-15,1518.75,1521.75,1511.25,1517,1674261,3145995
2013-02-14,1516.25,1520.75,1510,1518.75,1369257,3100819
2013-02-13,1517.5,1522,1513,1516.25,1268482,3040795
2013-02-12,1512.5,1519,1508.5,1517.75,1258547,3034816
2013-02-11,1513.5,1517,1509.75,1513,1229887,3024409
2013-02-08,1505,1515,1503.75,1513.75,1428025,3039366
2013-02-07,1507.25,1511,1494.5,1505,1959424,3000249
2013-02-06,1507.25,1510.25,1499,1506.25,1739209,2991919
2013-02-05,1492.5,1511,1492.25,1507.5,1741561,2964032
2013-02-04,1508,1508.5,1490.25,1492.5,1740191,2942926
2013-02-01,1496,1510.5,1495.75,1507.5,1771608,2952773
2013-01-31,1494.25,1500,1491.25,1496,1638725,2986380
2013-01-30,1505,1506,1493.5,1493.75,1798387,2983094
2013-01-29,1495.5,1505.75,1491,1505.5,1496138,2964345
2013-01-28,1495.75,1500,1491.25,1495.75,1203634,2939527
2013-01-25,1487.75,1499.25,1486.75,1495.5,1573008,2944510
2013-01-24,1483.25,1497.75,1482.75,1488.25,1822913,2945028
2013-01-23,1490.5,1491.25,1484.5,1485.25,1190361,2972476
2013-01-22,1483,1491.5,1475,1491,1473299,2928094
2013-01-21,1478,1483.75,1478,1483.5,124915,2853060
2013-01-18,1475.5,1481,1470.5,1479.75,1447673,2873582
2013-01-17,1465,1480.5,1460.5,1476,1740296,2855894
2013-01-16,1467,1469,1460,1464.5,1230091,2811077
2013-01-15,1465,1468.25,1456.5,1467.25,1323808,2830204
2013-01-14,1466.75,1471.25,1460.25,1465,1168418,2797558
2013-01-11,1469.75,1471.5,1462.25,1467.5,1122234,2775649
2013-01-10,1456.5,1470.25,1454.75,1470,1536010,2772956
2013-01-09,1451.5,1459.5,1451.25,1456.75,1186764,2777505
2013-01-08,1456.75,1457,1446,1451.5,1366989,2788837
2013-01-07,1460.25,1460.75,1450.75,1456.75,1189020,2764168
2013-01-04,1454,1463,1451.25,1459.75,1509781,2754086
2013-01-03,1456,1460.5,1450,1454.25,1598235,2768605
2013-01-02,1443,1458,1438.25,1456.5,1939320,2765822
2012-12-31,1388.25,1425.75,1383.5,1423.75,1478128,2755128
2012-12-28,1413.25,1416.75,1382.25,1386.75,1061826,2781698
2012-12-27,1413.25,1418.5,1396,1413.75,1467429,2781698
2012-12-26,1424,1425.5,1410.75,1413,578176,2765655
2012-12-24,1424.25,1424.5,1417.5,1419,318126,2755660
2012-12-21,1441,1441.25,1391.25,1428.5,2091728,2743059
2012-12-20,1429,1441.25,1427.25,1440.75,1646476,2743059
2012-12-19,1440.5,1446,1428.25,1428.75,1984118,2610354
2012-12-18,1428.25,1443.5,1425.25,1440.5,2493955,2346936
2012-12-17,1415.25,1429,1409.25,1427.75,2055560,1983093
2012-12-14,1410.5,1419.25,1405.75,1410.75,1688495,1453053
2012-12-13,1419.75,1425.25,1409.75,1411.5,967895,935496
2012-12-12,1425.25,1432.5,1419.5,1420,235450,474069
2012-12-11,1411,1428,1409,1425,152847,322332
2012-12-10,1410,1414.75,1404.5,1411.5,66193,206554
2012-12-07,1406,1415.75,1402.25,1410.5,67734,171056
2012-12-06,1400.25,1407.25,1398,1406.25,22954,130248
2012-12-05,1396.75,1408.25,1390.5,1400.25,30268,124602
2012-12-04,1399.75,1405,1395.25,1396.75,37901,108362
2012-12-03,1406.75,1417,1398.5,1398.5,35790,83168
2012-11-30,1405.7,1413.9,1404.35,1410.55,341208.8,665117.8
2012-11-29,1401.95,1414.3,1400.3,1407.75,756086.4,1261115.2
2012-11-28,1394.5,1406.15,1380.4,1404,1279486.4,1850007.6
2012-11-27,1402.75,1406.4,1394.2,1396.3,1311327.8,2456109.8
2012-11-26,1403.25,1405,1395,1405,1220665,3055794
2012-11-23,1391.75,1407.5,1387.25,1404.75,910642,3052902
2012-11-22,1389,1393.75,1388.75,1391.5,114558,3068623
2012-11-21,1386,1389.75,1377,1389.25,1064943,3066774
2012-11-20,1380,1387.5,1374,1386,1538979,3066774
2012-11-19,1360.75,1385.75,1360.25,1381,1736394,3045985
2012-11-16,1351.5,1360.5,1340.25,1360.5,2588254,3048449
2012-11-15,1354,1359,1345.25,1351.5,2405346,3066032
